place	touristID	VisitDate
مرکز خرید مارینا	87	4/17/2010
جزیره‌ی صير بنى ياس	99	10/26/2015
جزیره‌ی سعدیات	67	7/10/2011
جزیره الریم	87	10/30/2014
موزه‌ی ملی العین	72	11/20/2013
جزیره‌ی سعدیات	51	11/29/2014
پارک تفریحی دنیای فراری	70	10/10/2016
مرکز درمانی شاهین‌ها	48	7/3/2013
مسجد شیخ زاید	52	9/25/2013
موزه‌ی ملی العین	63	12/6/2012
جزیره الریم	27	12/4/2010
تفرجگاه کرنیش	94	1/1/2012
پارک تفریحی دنیای فراری	13	12/4/2014
مسجد شیخ زاید	52	12/7/2014
جزیره الریم	60	6/5/2015
جزیره‌ی صير بنى ياس	100	12/30/2012
پیست فرمول یک	56	4/14/2016
مرکز خرید مارینا	100	3/20/2010
تفرجگاه کرنیش	43	7/16/2012
کویر 	67	10/26/2015
سکوی دید باز	39	3/11/2011
مسجد شیخ زاید	29	10/31/2013
جزیره الریم	43	11/13/2014
مسجد شیخ زاید	36	11/24/2011
مسجد شیخ زاید	87	1/28/2013
کویر 	76	12/4/2015
قصرالامارات	2	8/6/2010
جزیره‌ی صير بنى ياس	89	9/10/2012
تفرجگاه کرنیش	35	1/23/2016
مسجد شیخ زاید	64	3/30/2011
مانگرو 	89	2/1/2010
مانگرو 	7	7/13/2016
جزیره‌ی صير بنى ياس	26	12/28/2011
مسجد شیخ زاید	21	1/16/2016
تفرجگاه کرنیش	70	4/6/2013
موزه‌ی ملی العین	80	7/11/2014
مانگرو 	57	11/5/2010
جزیره الریم	82	8/10/2015
موزه‌ی ملی العین	35	8/2/2012
مرکز درمانی شاهین‌ها	50	9/26/2012
قصرالامارات	48	9/15/2016
پیست فرمول یک	47	9/26/2016
کویر 	29	6/19/2012
مانگرو 	36	12/7/2013
جزیره‌ی سعدیات	99	12/15/2013
قصرالامارات	45	4/22/2016
جزیره‌ی سعدیات	78	12/16/2013
مسجد شیخ زاید	60	7/24/2014
سکوی دید باز	15	4/20/2015
جزیره‌ی صير بنى ياس	74	8/8/2016
سکوی دید باز	36	8/13/2010
مانگرو 	85	6/24/2013
جزیره الریم	76	12/26/2012
پارک تفریحی دنیای فراری	72	7/1/2011
تفرجگاه کرنیش	19	7/3/2010
کویر 	54	8/13/2016
قصرالامارات	25	10/30/2012
کویر 	86	2/23/2013
قصرالامارات	6	8/27/2011
مانگرو 	2	9/20/2014
مانگرو 	17	9/20/2014
قصرالامارات	4	6/8/2013
مرکز خرید مارینا	61	6/25/2013
تفرجگاه کرنیش	50	5/10/2011
مسجد شیخ زاید	23	12/24/2015
مسجد شیخ زاید	69	1/23/2011
پیست فرمول یک	80	6/14/2012
قصرالامارات	25	10/7/2010
مسجد شیخ زاید	21	12/11/2010
مانگرو 	43	2/19/2015
کویر 	12	10/25/2015
مسجد شیخ زاید	65	11/27/2013
موزه‌ی ملی العین	3	7/14/2010
مانگرو 	43	8/4/2011
جزیره‌ی سعدیات	90	4/21/2012
پیست فرمول یک	47	10/14/2012
کویر 	1	3/4/2015
تفرجگاه کرنیش	22	5/8/2013
مسجد شیخ زاید	7	3/22/2014
مرکز درمانی شاهین‌ها	16	8/3/2014
موزه‌ی ملی العین	28	7/7/2015
جزیره‌ی سعدیات	19	12/29/2013
کویر 	48	12/11/2015
جزیره‌ی صير بنى ياس	70	2/17/2012
پیست فرمول یک	8	11/21/2013
موزه‌ی ملی العین	71	4/1/2010
مرکز درمانی شاهین‌ها	52	3/18/2014
پیست فرمول یک	5	7/5/2016
پارک تفریحی دنیای فراری	46	2/1/2014
جزیره‌ی صير بنى ياس	1	12/26/2012
مانگرو 	33	7/16/2012
مانگرو 	64	11/2/2011
جزیره‌ی سعدیات	97	1/26/2012
پیست فرمول یک	84	8/5/2010
مرکز درمانی شاهین‌ها	6	6/17/2016
سکوی دید باز	55	10/13/2013
پیست فرمول یک	43	10/28/2012
پارک تفریحی دنیای فراری	100	9/10/2016
مسجد شیخ زاید	36	11/5/2015
پیست فرمول یک	4	11/14/2012
جزیره الریم	40	2/16/2015
مسجد شیخ زاید	66	10/31/2012
کویر 	6	10/30/2015
قصرالامارات	12	11/28/2010
مسجد شیخ زاید	63	9/12/2015
تفرجگاه کرنیش	34	9/6/2013
کویر 	54	5/13/2014
قصرالامارات	26	8/31/2014
مانگرو 	2	4/30/2015
مانگرو 	89	12/5/2012
تفرجگاه کرنیش	82	3/19/2011
کویر 	54	10/15/2012
تفرجگاه کرنیش	91	8/3/2014
جزیره‌ی صير بنى ياس	34	3/9/2012
قصرالامارات	36	11/7/2010
قصرالامارات	81	10/7/2010
مرکز درمانی شاهین‌ها	73	2/25/2010
مرکز خرید مارینا	65	3/29/2013
موزه‌ی ملی العین	73	7/21/2016
جزیره الریم	5	11/13/2012
پارک تفریحی دنیای فراری	55	10/11/2013
پارک تفریحی دنیای فراری	33	6/23/2016
کویر 	35	8/29/2016
جزیره‌ی صير بنى ياس	65	5/23/2010
تفرجگاه کرنیش	33	6/23/2013
تفرجگاه کرنیش	31	9/5/2013
پارک تفریحی دنیای فراری	23	10/27/2016
مرکز درمانی شاهین‌ها	62	5/9/2011
جزیره‌ی سعدیات	32	7/21/2010
مانگرو 	32	5/23/2011
موزه‌ی ملی العین	23	12/1/2016
جزیره‌ی صير بنى ياس	57	9/15/2011
جزیره‌ی صير بنى ياس	94	5/29/2016
جزیره‌ی صير بنى ياس	97	2/26/2011
قصرالامارات	14	6/19/2012
مرکز درمانی شاهین‌ها	49	6/24/2015
جزیره الریم	86	11/6/2013
جزیره‌ی سعدیات	10	9/1/2013
کویر 	51	2/5/2015
جزیره‌ی سعدیات	77	5/4/2010
پیست فرمول یک	9	3/11/2012
جزیره‌ی سعدیات	50	8/29/2013
کویر 	89	2/21/2013
پیست فرمول یک	21	12/12/2011
مسجد شیخ زاید	88	8/7/2012
قصرالامارات	20	7/5/2014
مانگرو 	92	9/20/2013
موزه‌ی ملی العین	42	7/16/2014
پیست فرمول یک	46	11/24/2015
جزیره‌ی سعدیات	36	6/27/2011
پیست فرمول یک	65	7/8/2016
پیست فرمول یک	24	8/2/2015
مانگرو 	47	2/2/2014
کویر 	5	5/18/2011
جزیره الریم	56	7/29/2016
جزیره‌ی سعدیات	30	3/24/2012
پیست فرمول یک	21	6/20/2014
مرکز خرید مارینا	99	4/29/2013
مرکز درمانی شاهین‌ها	90	9/29/2011
کویر 	10	4/17/2016
تفرجگاه کرنیش	50	5/8/2010
تفرجگاه کرنیش	14	10/8/2010
جزیره الریم	16	8/4/2015
تفرجگاه کرنیش	31	3/12/2015
تفرجگاه کرنیش	24	12/29/2014
قصرالامارات	71	1/11/2016
تفرجگاه کرنیش	36	12/22/2016
جزیره‌ی صير بنى ياس	87	12/18/2016
مسجد شیخ زاید	65	11/23/2014
مرکز درمانی شاهین‌ها	96	11/4/2016
جزیره‌ی سعدیات	24	1/31/2010
سکوی دید باز	61	7/4/2010
مرکز درمانی شاهین‌ها	36	5/12/2011
جزیره‌ی سعدیات	54	2/26/2015
تفرجگاه کرنیش	61	5/22/2012
کویر 	93	10/9/2015
کویر 	14	7/18/2013
جزیره الریم	98	3/28/2013
مسجد شیخ زاید	73	10/5/2012
تفرجگاه کرنیش	89	4/7/2014
پارک تفریحی دنیای فراری	3	11/24/2013
جزیره الریم	86	6/16/2016
جزیره‌ی سعدیات	94	12/14/2012
جزیره‌ی سعدیات	40	7/2/2015
سکوی دید باز	68	3/10/2015
مسجد شیخ زاید	56	5/16/2013
جزیره‌ی صير بنى ياس	60	7/17/2013
مرکز درمانی شاهین‌ها	63	12/24/2012
مسجد شیخ زاید	94	9/16/2013
مسجد شیخ زاید	93	12/7/2013
کویر 	7	11/13/2012
سکوی دید باز	59	2/1/2014
جزیره‌ی صير بنى ياس	50	1/2/2012
پارک تفریحی دنیای فراری	73	11/14/2012
جزیره الریم	27	1/7/2016
جزیره الریم	73	10/10/2014
پیست فرمول یک	84	6/26/2011
مرکز خرید مارینا	87	5/15/2011
سکوی دید باز	2	5/8/2012
تفرجگاه کرنیش	73	6/17/2011
پارک تفریحی دنیای فراری	22	3/30/2010
سکوی دید باز	56	10/7/2016
مسجد شیخ زاید	55	9/10/2016
سکوی دید باز	72	4/12/2013
تفرجگاه کرنیش	65	1/29/2014
مرکز درمانی شاهین‌ها	48	7/10/2015
کویر 	48	1/21/2013
مرکز خرید مارینا	33	11/15/2015
جزیره الریم	71	4/11/2013
موزه‌ی ملی العین	84	4/30/2013
موزه‌ی ملی العین	98	3/6/2014
مانگرو 	24	10/16/2013
مانگرو 	100	7/14/2012
جزیره‌ی صير بنى ياس	98	3/14/2015
موزه‌ی ملی العین	53	5/22/2010
تفرجگاه کرنیش	9	10/29/2011
مسجد شیخ زاید	51	11/4/2010
تفرجگاه کرنیش	25	12/19/2011
سکوی دید باز	48	6/28/2013
مرکز خرید مارینا	36	5/24/2015
پارک تفریحی دنیای فراری	89	1/3/2013
کویر 	63	2/27/2014
تفرجگاه کرنیش	14	3/20/2016
کویر 	91	7/28/2012
مرکز درمانی شاهین‌ها	60	12/1/2016
جزیره‌ی سعدیات	97	10/20/2014
جزیره‌ی سعدیات	63	2/27/2011
سکوی دید باز	12	9/26/2013
مرکز خرید مارینا	62	11/16/2015
مانگرو 	13	9/22/2015
مرکز خرید مارینا	76	6/26/2010
پیست فرمول یک	67	10/10/2012
جزیره‌ی صير بنى ياس	81	6/26/2010
مسجد شیخ زاید	5	2/4/2010
کویر 	69	5/29/2016
سکوی دید باز	43	4/18/2013
پیست فرمول یک	93	10/17/2016
کویر 	13	12/7/2015
قصرالامارات	75	9/18/2014
مرکز درمانی شاهین‌ها	97	11/9/2010
مسجد شیخ زاید	52	6/25/2010
پیست فرمول یک	38	10/7/2016
موزه‌ی ملی العین	78	6/1/2011
جزیره‌ی سعدیات	39	1/29/2014
قصرالامارات	28	1/3/2013
سکوی دید باز	83	6/8/2014
جزیره‌ی صير بنى ياس	45	6/11/2015
جزیره الریم	26	8/9/2016
قصرالامارات	87	3/2/2010
کویر 	3	5/21/2012
موزه‌ی ملی العین	49	7/9/2011
پیست فرمول یک	92	5/4/2012
مسجد شیخ زاید	12	5/22/2015
مانگرو 	67	9/8/2015
مرکز خرید مارینا	86	4/29/2010
جزیره‌ی صير بنى ياس	37	7/8/2013
سکوی دید باز	51	5/29/2014
سکوی دید باز	77	12/22/2012
مسجد شیخ زاید	65	4/24/2015
مرکز درمانی شاهین‌ها	2	10/19/2011
سکوی دید باز	44	10/22/2011
مانگرو 	85	2/19/2012
مسجد شیخ زاید	96	4/22/2012
جزیره‌ی صير بنى ياس	98	7/12/2012
مسجد شیخ زاید	94	9/8/2012
مرکز درمانی شاهین‌ها	97	4/27/2013
پارک تفریحی دنیای فراری	72	3/31/2014
جزیره‌ی سعدیات	27	11/24/2012
موزه‌ی ملی العین	98	7/12/2010
جزیره الریم	69	7/6/2011
پارک تفریحی دنیای فراری	38	2/22/2014
مانگرو 	63	2/7/2015
مسجد شیخ زاید	74	4/26/2015
سکوی دید باز	41	1/13/2013
مرکز خرید مارینا	74	7/29/2013
جزیره‌ی صير بنى ياس	17	2/11/2015
قصرالامارات	95	7/7/2010
سکوی دید باز	61	11/26/2013
مسجد شیخ زاید	23	5/5/2015
سکوی دید باز	67	12/19/2010
مرکز خرید مارینا	39	1/23/2010
جزیره‌ی سعدیات	92	1/3/2010
قصرالامارات	27	1/7/2016
قصرالامارات	21	9/28/2012
مرکز خرید مارینا	20	5/9/2010
مرکز درمانی شاهین‌ها	45	8/11/2016
مانگرو 	58	7/9/2012
مرکز خرید مارینا	100	5/27/2012
تفرجگاه کرنیش	82	9/16/2010
مانگرو 	16	6/18/2015
سکوی دید باز	62	1/12/2014
جزیره‌ی صير بنى ياس	11	12/5/2012
جزیره‌ی صير بنى ياس	34	6/30/2013
مسجد شیخ زاید	8	5/14/2010
تفرجگاه کرنیش	80	11/22/2010
مانگرو 	98	1/18/2011
جزیره‌ی صير بنى ياس	60	2/17/2013
جزیره‌ی سعدیات	99	10/30/2012
سکوی دید باز	57	2/18/2013
جزیره‌ی صير بنى ياس	75	7/6/2012
مرکز خرید مارینا	77	11/23/2013
سکوی دید باز	53	3/14/2013
جزیره‌ی صير بنى ياس	35	1/21/2016
تفرجگاه کرنیش	96	1/12/2010
مرکز خرید مارینا	46	10/16/2015
مانگرو 	68	1/29/2016
کویر 	68	6/16/2016
پیست فرمول یک	49	9/25/2011
جزیره الریم	13	1/25/2015
مسجد شیخ زاید	75	3/14/2011
کویر 	2	9/6/2015
مرکز درمانی شاهین‌ها	18	12/5/2010
تفرجگاه کرنیش	10	9/11/2012
جزیره‌ی صير بنى ياس	36	8/17/2014
جزیره‌ی صير بنى ياس	77	1/3/2013
مسجد شیخ زاید	12	1/25/2013
مسجد شیخ زاید	41	3/20/2014
جزیره الریم	96	3/24/2011
تفرجگاه کرنیش	57	6/8/2013
پیست فرمول یک	37	5/12/2011
مانگرو 	66	9/9/2015
جزیره‌ی سعدیات	93	6/14/2012
مرکز خرید مارینا	8	1/18/2015
قصرالامارات	27	10/23/2014
پیست فرمول یک	36	1/30/2012
تفرجگاه کرنیش	61	9/24/2015
جزیره‌ی سعدیات	2	4/10/2015
سکوی دید باز	11	4/21/2010
مرکز درمانی شاهین‌ها	88	6/27/2013
کویر 	83	10/14/2012
قصرالامارات	49	5/24/2015
مرکز خرید مارینا	5	3/25/2014
مرکز درمانی شاهین‌ها	2	4/3/2010
پارک تفریحی دنیای فراری	3	11/16/2016
موزه‌ی ملی العین	64	7/3/2011
مسجد شیخ زاید	67	6/3/2016
موزه‌ی ملی العین	75	4/15/2014
پارک تفریحی دنیای فراری	68	4/16/2012
مرکز درمانی شاهین‌ها	32	3/19/2016
موزه‌ی ملی العین	10	3/11/2016
جزیره‌ی صير بنى ياس	4	3/18/2011
پارک تفریحی دنیای فراری	54	12/1/2012
سکوی دید باز	53	1/25/2012
پارک تفریحی دنیای فراری	29	6/21/2013
سکوی دید باز	7	9/15/2016
مرکز درمانی شاهین‌ها	55	6/18/2010
مانگرو 	65	8/26/2013
سکوی دید باز	92	2/16/2011
موزه‌ی ملی العین	26	12/28/2012
مانگرو 	85	12/21/2015
جزیره‌ی سعدیات	56	2/15/2016
پارک تفریحی دنیای فراری	89	12/12/2015
تفرجگاه کرنیش	90	6/4/2010
تفرجگاه کرنیش	25	8/14/2010
جزیره‌ی سعدیات	5	8/9/2015
قصرالامارات	75	12/15/2015
سکوی دید باز	13	12/28/2011
جزیره‌ی صير بنى ياس	98	12/23/2013
قصرالامارات	5	10/2/2015
کویر 	20	11/27/2016
موزه‌ی ملی العین	96	10/15/2013
مرکز خرید مارینا	2	4/21/2011
مانگرو 	66	11/1/2016
موزه‌ی ملی العین	67	6/11/2015
مسجد شیخ زاید	14	9/2/2010
